"Time Period","Activities","Total Distance","Max Distance","Total Activity Time","Routes Attempted","Activity Calories","Total Ascent","Max Ascent","Average Speed","Max Speed","Best Pace","Average Heart Rate","Max Heart Rate","Average Run Cadence","Average Bike Cadence","Avg Stress","Total Rest Time"
"2023","330","880.31 km","60.01 km","252:52:00 h:m:s","--","72,184","6,914 m","422 m","3.5 kph","49.4 kph","1:13 /km","109 bpm","189 bpm","113 spm","--","23.5","--"
"2022","467","468.88 km","20.14 km","534:16:57 h:m:s","--","117,847","5,390 m","473 m","0.9 kph","63.7 kph","0:57 /km","98 bpm","194 bpm","95 spm","--","--","--"
"2021","300","213.50 km","13.91 km","271:08:00 h:m:s","--","78,976","2,989 m","1,185 m","0.8 kph","47.8 kph","1:15 /km","108 bpm","199 bpm","91 spm","--","--","--"
"2020","57","60.66 km","9.67 km","46:35:17 h:m:s","--","17,626","664 m","270 m","1.3 kph","18.3 kph","3:17 /km","119 bpm","194 bpm","101 spm","--","--","--"
"Summary","1,154","1,623.35 km","60.01 km","1104:52:14 h:m:s","--","286,633","15,957 m","1,185 m","1.6 kph","63.7 kph","0:57 /km","109 bpm","199 bpm","100 spm","--","24","--"
